customer_id,name,email,signup_date,city,country,age,gender,age_missing,city_missing,gender_missing
1,allison hill,donaldgarcia@example.net,2019-08-17,Sydney,Australia,63.0,M,False,False,False
2,angie henderson,davisjesse@example.net,2023-02-25,Sydney,Australia,21.0,F,False,False,False
3,cristian santos,lrobinson@example.com,2021-10-31,Toronto,Canada,17.0,M,False,False,False
4,abigail shaffer,jpeterson@example.org,2020-03-27,Manchester,UK,53.0,M,False,False,False
5,gabrielle davis,howardmaurice@example.com,2022-11-30,Chicago,USA,37.0,M,False,False,False
6,monica herrera,smiller@example.net,2019-07-09,Los Angeles,USA,22.0,F,False,False,False
7,shannon ray,williamsjeremy@example.com,2023-02-03,New York,USA,50.0,F,False,False,False
8,dr. sharon james,xreid@example.org,2023-08-26,Vancouver,Canada,55.0,F,False,False,False
9,daniel adams,lynchgeorge@example.net,2019-04-04,Los Angeles,USA,65.0,F,False,False,False
10,joel nelson,gabriellecameron@example.org,2021-02-17,Los Angeles,USA,45.0,F,False,False,False
11,andrew stewart,carl95@example.org,2022-10-04,Toronto,Canada,60.0,M,False,False,False
12,jennifer rocha,ithomas@example.org,2021-12-29,Chicago,USA,26.0,Other,False,False,False
13,kimberly burgess,zhurst@example.com,2022-02-14,Melbourne,Australia,59.0,F,False,False,False
14,zachary hicks,camposmichelle@example.org,2019-03-07,Mumbai,India,41.0,Other,False,False,False
15,rebecca henderson,cruzcaitlin@example.com,2023-01-10,Bangkok,Thailand,29.0,M,False,False,False
16,tricia valencia,frazierdanny@example.net,2019-10-20,Berlin,Germany,24.0,F,False,False,False
17,patricia peterson,ryan70@example.net,2021-05-27,Paris,France,41.0,F,False,False,False
18,deborah mason,williamrodriguez@example.net,2019-07-06,Berlin,Germany,71.0,M,False,False,False
19,mark lynch,nathanielmartin@example.net,2022-05-06,Manchester,UK,40.0,M,False,False,False
20,linda burns,hickmannatasha@example.com,2023-10-29,Munich,Germany,59.0,M,False,False,False
21,david bradley,millertodd@example.org,2023-04-24,Vancouver,Canada,37.0,F,False,False,False
22,kim martinez,karroyo@example.com,2023-11-29,Melbourne,Australia,48.0,F,False,False,False
23,lisa brandt,jenniferross@example.net,2020-09-03,Sydney,Australia,48.0,M,False,False,False
24,jessica holmes,wrightcaleb@example.org,2024-05-06,Munich,Germany,,F,True,False,False
25,crystal robinson,zimmermanbrian@example.org,2021-01-13,Bangkok,Thailand,,Other,True,False,False
26,shannon jones,joshuawashington@example.net,2023-02-07,Los Angeles,USA,68.0,M,False,False,False
27,timothy duncan,esanchez@example.com,2022-09-13,Chicago,USA,51.0,M,False,False,False
28,brent jordan,ujenkins@example.org,2024-03-17,Toronto,Canada,64.0,F,False,False,False
29,victoria garcia,zchandler@example.org,2022-08-23,Sydney,Australia,44.0,F,False,False,False
30,connor west,dwhite@example.org,2020-11-23,Los Angeles,USA,53.0,F,False,False,False
31,angela morton,williamsyvette@example.org,2022-07-16,Melbourne,Australia,30.0,F,False,False,False
32,tammy allison,richardolson@example.com,2020-05-02,Munich,Germany,58.0,M,False,False,False
33,carmen smith,ybaker@example.com,2022-03-15,Bangkok,Thailand,46.0,F,False,False,False
34,michael cross,smoore@example.org,2019-07-18,Los Angeles,USA,43.0,M,False,False,False
35,lauren daniels,brian97@example.net,2022-10-11,New York,USA,57.0,F,False,False,False
36,kim brown,yorkcasey@example.org,2019-08-12,Mumbai,India,28.0,F,False,False,False
37,cynthia wilson,bethwilliams@example.org,2021-08-05,Vancouver,Canada,71.0,M,False,False,False
38,kevin mills,james53@example.com,2019-07-20,Munich,Germany,57.0,,False,False,True
39,michael evans,sarah10@example.com,2023-03-24,Bangkok,Thailand,26.0,M,False,False,False
40,kristine garcia,williamanderson@example.com,2019-05-01,Bangkok,Thailand,,Other,True,False,False
41,sherry wood,samueldaniels@example.com,2021-07-20,Singapore,Singapore,43.0,M,False,False,False
42,victoria valdez,contrerasangela@example.net,2023-01-11,Sydney,Australia,25.0,F,False,False,False
43,shawn baker,newtoneric@example.com,2022-01-15,Melbourne,Australia,63.0,M,False,False,False
44,michelle harris,william40@example.org,2023-10-13,Bangkok,Thailand,,M,True,False,False
45,sandra williams,kellie42@example.net,2022-05-03,Los Angeles,USA,59.0,Other,False,False,False
46,michael hoffman,jonesnicole@example.org,2020-05-19,Paris,France,,M,True,False,False
47,sandra aguilar,russellwilliams@example.com,2021-12-06,Paris,France,75.0,F,False,False,False
48,rebecca valencia,jason31@example.com,2021-03-21,Vancouver,Canada,58.0,Other,False,False,False
49,stacey russell,sarayoung@example.org,2019-05-29,Bangkok,Thailand,45.0,F,False,False,False
50,rita keith,whitesandra@example.com,2020-03-12,Munich,Germany,32.0,F,False,False,False
51,sharon cochran,erik16@example.org,2021-01-26,Toronto,Canada,26.0,F,False,False,False
52,courtney velasquez,ybailey@example.org,2022-09-01,Singapore,Singapore,16.0,Other,False,False,False
53,matthew ross,michelle45@example.net,2024-04-06,Los Angeles,USA,32.0,M,False,False,False
54,meghan anthony,sheila14@example.org,2020-07-31,Vancouver,Canada,29.0,M,False,False,False
55,victoria johnson,yreed@example.com,2021-11-01,Vancouver,Canada,32.0,F,False,False,False
56,william wilson,jonathanfletcher@example.org,2023-08-26,Manchester,UK,,M,True,False,False
